
Dies[A,A,E,E,G,N,][A,B,B,J,O,O,][A,C,H,O,P,S,][A,F,F,K,P,S,][A,O,O,T,T,W,][C,I,M,O,T,U,][D,E,I,L,R,X,][D,E,L,R,V,Y,][D,I,S,T,T,Y,][E,E,G,H,N,W,][E,E,I,N,S,U,][E,H,R,T,V,W,][E,I,O,S,S,T,][E,L,R,T,T,Y,][H,I,M,N,U,Qu,][H,L,N,N,R,Z,]
board:B W E T E E L S N O V E W F O X 	n_words 112 	avg 1.12e+02 	std 0.0 	min 112 	max 112 	N 1	words:['bee', 'bees', 'beet', 'beetle', 'bel', 'below', 'belt', 'ben', 'bene', 'bevel', 'eel', 'eleven', 'elevon', 'els', 'else', 'enol', 'enow', 'eon', 'eve', 'even', 'ewe', 'foe', 'fon', 'fool', 'fools', 'foveole', 'foveolet', 'fox', 'leben', 'lee', 'leet', 'leno', 'leone', 'let', 'lev', 'levee', 'levo', 'lex', 'lone', 'loo', 'loof', 'love', 'loves', 'low', 'lown', 'neb', 'nee', 'neve', 'new', 'newel', 'noel', 'noo', 'novel', 'now', 'oes', 'ole', 'oleo', 'one', 'oven', 'own', 'see', 'seel', 'sel', 'set', 'seven', 'sew', 'sex', 'sleet', 'sleeve', 'slew', 'sloe', 'sloven', 'slow', 'steel', 'steeve', 'stele', 'stew', 'svelte', 'tee', 'teel', 'teen', 'tel', 'tele', 'teles', 'telex', 'tels', 'tew', 'vee', 'vest', 'vestee', 'vex', 'voe', 'vole', 'volt', 'volte', 'vow', 'web', 'wee', 'ween', 'wees', 'weet', 'welt', 'welts', 'wen', 'west', 'wet', 'woe', 'won', 'woo', 'woof', 'wove', 'woven']
board:O C I V H Y D W O S A N G S I E 	n_words 77 	avg 94.5 	std 17.5 	min 77 	max 112 	N 2	words:['ads', 'ain', 'ais', 'and', 'ane', 'ani', 'anis', 'asdic', 'ash', 'ass', 'awn', 'coho', 'cohog', 'cohos', 'coy', 'cyan', 'dais', 'dash', 'dassie', 'daw', 'dawn', 'day', 'days', 'diwan', 'easy', 'end', 'gosh', 'gossan', 'goy', 'hog', 'hogs', 'hoy', 'hoya', 'ich', 'nae', 'naw', 'nay', 'nays', 'sad', 'sadi', 'sain', 'sand', 'sands', 'sandwich', 'sane', 'sash', 'sasin', 'saw', 'sawn', 'say', 'sayid', 'says', 'shog', 'shy', 'sin', 'sine', 'sis', 'sos', 'soy', 'soya', 'vichy', 'wad', 'wadi', 'wads', 'wae', 'wain', 'wan', 'wand', 'wane', 'was', 'wash', 'way', 'ways', 'wich', 'yaw', 'yawn', 'yid']
board:V I T N L T P T H T I E U A O N 	n_words 67 	avg 85.3 	std 19.3 	min 67 	max 112 	N 3	words:['ain', 'ait', 'atone', 'att', 'auto', 'eon', 'hao', 'hat', 'hatpin', 'haut', 'hut', 'inept', 'ion', 'iota', 'lip', 'lipin', 'lit', 'net', 'nett', 'nip', 'nit', 'nite', 'not', 'nota', 'oat', 'oath', 'one', 'pein', 'pen', 'peon', 'pet', 'petit', 'petti', 'pia', 'pie', 'pin', 'pine', 'pinot', 'pion', 'pit', 'pita', 'pith', 'piton', 'tain', 'tao', 'tau', 'ten', 'tenia', 'that', 'tie', 'til', 'tilt', 'tilth', 'tin', 'tine', 'tip', 'tipi', 'tiptoe', 'tit', 'titi', 'tittie', 'toe', 'toit', 'ton', 'tone', 'uta', 'vitta']
board:V O E H E E E I E T Y F S O Y N 	n_words 32 	avg 72.0 	std 28.5 	min 32 	max 112 	N 4	words:['eve', 'eye', 'fee', 'feet', 'feh', 'fet', 'fete', 'fey', 'fie', 'het', 'hey', 'hie', 'oes', 'ose', 'see', 'set', 'sot', 'soy', 'steeve', 'sty', 'stye', 'tee', 'toe', 'toes', 'toy', 'tye', 'tyee', 'vee', 'vet', 'veto', 'voe', 'yet']
board:S T A I Y L W O P T N U U V S O 	n_words 42 	avg 66.0 	std 28.2 	min 32 	max 112 	N 5	words:['alp', 'als', 'alt', 'awl', 'awn', 'ion', 'lat', 'law', 'lawn', 'nos', 'nous', 'now', 'nowt', 'oat', 'ons', 'onus', 'oust', 'owl', 'own', 'plat', 'platy', 'ply', 'put', 'puts', 'slat', 'slaw', 'sly', 'snow', 'son', 'sou', 'sty', 'sun', 'tao', 'taw', 'tup', 'twa', 'twat', 'two', 'uns', 'wat', 'won', 'wont']
board:H C I T G E N B D S U R T I C D 	n_words 145 	avg 79.2 	std 39.1 	min 32 	max 145 	N 6	words:['bice', 'bin', 'bine', 'bint', 'bit', 'bruise', 'bruit', 'brunch', 'brunt', 'bud', 'bun', 'bunch', 'bunt', 'bur', 'burd', 'burn', 'burnie', 'burns', 'bus', 'bust', 'bustic', 'cedi', 'cent', 'chest', 'cine', 'cis', 'cist', 'crud', 'cruise', 'crunch', 'crus', 'cruse', 'crust', 'cub', 'cubic', 'cubit', 'cud', 'cue', 'cues', 'cunt', 'cur', 'curb', 'curd', 'curn', 'cusec', 'den', 'dens', 'dent', 'dis', 'disc', 'dit', 'dits', 'drub', 'druid', 'druse', 'dub', 'due', 'dui', 'duit', 'dun', 'dunce', 'dunch', 'dune', 'dunt', 'durn', 'durned', 'dust', 'edit', 'ens', 'ged', 'gen', 'genic', 'gens', 'gent', 'genu', 'genus', 'gest', 'gestic', 'hen', 'henbit', 'hent', 'hes', 'hest', 'ice', 'ich', 'identic', 'incest', 'inch', 'ins', 'inside', 'its', 'nest', 'nib', 'nice', 'niche', 'nit', 'nub', 'nurd', 'rub', 'rubies', 'rue', 'run', 'rune', 'runt', 'ruse', 'rust', 'rustic', 'scrub', 'scrunch', 'scud', 'sec', 'seg', 'sei', 'sen', 'sent', 'senti', 'sic', 'side', 'sit', 'sned', 'snib', 'snit', 'snub', 'sub', 'subniche', 'sue', 'sued', 'suit', 'sun', 'surd', 'tic', 'tide', 'tie', 'tin', 'tine', 'tins', 'tis', 'unci', 'unit', 'uns', 'untie', 'urb', 'urd', 'urn', 'use']
board:I P A Y E I R D L E A T R E R M 	n_words 153 	avg 89.7 	std 44.5 	min 32 	max 153 	N 7	words:['aerie', 'ail', 'air', 'airer', 'airt', 'ape', 'are', 'area', 'aria', 'ariel', 'aril', 'arm', 'art', 'atria', 'dairy', 'dam', 'dap', 'dare', 'darer', 'dart', 'day', 'drail', 'dram', 'drape', 'drat', 'dray', 'dream', 'dreamt', 'drear', 'dree', 'drier', 'drip', 'dry', 'ear', 'eat', 'eel', 'eerie', 'era', 'ere', 'ilea', 'ire', 'lea', 'lead', 'lear', 'lee', 'leer', 'lei', 'liar', 'liard', 'lie', 'lier', 'lip', 'lira', 'mad', 'madre', 'mae', 'mail', 'maile', 'mailer', 'mair', 'mar', 'mare', 'maria', 'mart', 'mat', 'pad', 'padre', 'pail', 'pair', 'par', 'para', 'pard', 'pare', 'parer', 'part', 'pay', 'pee', 'peel', 'peeler', 'peer', 'pele', 'pia', 'pie', 'pier', 'pile', 'pilea', 'pram', 'prat', 'pray', 'prearm', 'pree', 'prier', 'pry', 'rad', 'radar', 'raia', 'rail', 'railer', 'ram', 'rap', 'rape', 'rapier', 'rare', 'rarer', 'rat', 'ray', 'read', 'ready', 'ream', 'rear', 'rearer', 'rearm', 'ree', 'reel', 'reeler', 'rei', 'relier', 'reread', 'ria', 'riel', 'rile', 'rip', 'ripe', 'rya', 'tad', 'tae', 'tael', 'tail', 'tailer', 'tam', 'tar', 'tardy', 'tare', 'tarp', 'trad', 'trail', 'trailer', 'tram', 'trap', 'tray', 'tread', 'tree', 'triad', 'trier', 'trip', 'tripe', 'try', 'yaird', 'yap', 'yar', 'yard', 'yardarm', 'yare']
board:D C I N U A W I R H H O O R E E 	n_words 52 	avg 85.0 	std 43.4 	min 32 	max 153 	N 8	words:['acini', 'ain', 'awn', 'cad', 'cahow', 'cain', 'car', 'carr', 'caw', 'cud', 'cur', 'curr', 'dah', 'daw', 'dawn', 'dura', 'duro', 'durr', 'err', 'had', 'hah', 'haw', 'heehaw', 'heh', 'her', 'hero', 'hin', 'hoe', 'hoer', 'hora', 'horah', 'how', 'nicad', 'ora', 'ore', 'own', 'rad', 'rain', 'raw', 'rawin', 'ree', 'rho', 'wad', 'wain', 'war', 'wha', 'whee', 'whin', 'who', 'whore', 'win', 'woe']
board:O M A R E O E Y S H O R S O Y E 	n_words 89 	avg 85.4 	std 41.0 	min 32 	max 153 	N 9	words:['aero', 'are', 'aye', 'ear', 'eme', 'emes', 'era', 'ere', 'ess', 'eyra', 'eyre', 'hear', 'hem', 'heme', 'her', 'here', 'hero', 'hes', 'hey', 'hoar', 'hoe', 'hoer', 'home', 'homer', 'homes', 'homey', 'homo', 'hooey', 'hose', 'hoy', 'hoya', 'mae', 'mar', 'mare', 'may', 'mayo', 'mayor', 'mere', 'mesh', 'mess', 'moa', 'moo', 'moor', 'moos', 'mos', 'moss', 'oar', 'oes', 'omer', 'ooh', 'ore', 'ose', 'oyer', 'ram', 'ramose', 'ray', 'ream', 'rear', 'rehem', 'rem', 'roe', 'room', 'roomer', 'roose', 'rya', 'rye', 'seme', 'she', 'shea', 'shear', 'shoe', 'shoer', 'shoes', 'shoo', 'shore', 'shy', 'shyer', 'soar', 'soarer', 'soma', 'some', 'sos', 'soy', 'yam', 'yar', 'yare', 'yea', 'year', 'yore']
board:A L E E H U S E I E T A C G T Z 	n_words 93 	avg 86.2 	std 38.9 	min 32 	max 153 	N 10	words:['ale', 'als', 'ate', 'att', 'cesta', 'cete', 'ease', 'easel', 'east', 'eat', 'eel', 'els', 'else', 'elute', 'estate', 'eta', 'etui', 'gest', 'geste', 'get', 'geta', 'gie', 'hale', 'hales', 'halutz', 'haul', 'haut', 'haute', 'hes', 'hest', 'het', 'hic', 'hie', 'hue', 'hula', 'hut', 'ice', 'lee', 'leet', 'leu', 'lust', 'lute', 'lutea', 'lutes', 'lutz', 'sat', 'sate', 'sea', 'seat', 'sec', 'see', 'seel', 'seg', 'sei', 'sel', 'selah', 'set', 'seta', 'sett', 'settee', 'sleet', 'slue', 'sluice', 'slut', 'stat', 'state', 'steel', 'stet', 'sue', 'suet', 'sutta', 'tae', 'tas', 'taste', 'tat', 'tate', 'tea', 'teas', 'tease', 'teasel', 'teat', 'tee', 'teel', 'teg', 'tesla', 'test', 'testa', 'testee', 'tet', 'tui', 'tule', 'use', 'uta']
board:D T G P I Y F U H R U B A I E N 	n_words 49 	avg 82.8 	std 38.6 	min 32 	max 153 	N 11	words:['air', 'are', 'arf', 'arid', 'ben', 'bug', 'bun', 'bur', 'bura', 'bury', 'buy', 'dire', 'dit', 'era', 'frit', 'fry', 'fub', 'fug', 'fun', 'fur', 'gyre', 'gyri', 'hair', 'hare', 'hid', 'hie', 'hire', 'hit', 'ire', 'irid', 'neb', 'nub', 'pub', 'pug', 'reb', 'rebuy', 'rei', 'ria', 'rid', 'rub', 'rube', 'rue', 'run', 'rune', 'tidy', 'tire', 'tyre', 'unbe', 'yid']
